Trajectory Recorded at ,Thu Oct 29 17:15:06 2020,Duration: 13.6052s

Time Stamp,Time Stamp,Position,Position,Position,Position,Position,Position,Velocity,Velocity,Velocity,Velocity,Velocity,Velocity
seconds,nseconds,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,
0,0,0.0289639,-0.869694,-1.91935,0.000119686,-0.00287962,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289658,-0.869693,-1.91935,0.000119686,-0.0028801,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289677,-0.869693,-1.91935,0.000119686,-0.00288057,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289696,-0.869692,-1.91935,0.000119448,-0.00288105,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289715,-0.869692,-1.91935,0.000119448,-0.00288153,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289734,-0.869691,-1.91935,0.000119448,-0.002882,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289753,-0.869691,-1.91935,0.000119448,-0.00288248,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289773,-0.86969,-1.91935,0.000119448,-0.00288296,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289792,-0.86969,-1.91935,0.000119686,-0.00288343,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289811,-0.869689,-1.91935,0.000119686,-0.00288391,8.86917e-05,0,0,0,0,0,0,
0,0,0.028983,-0.869688,-1.91935,0.000119925,-0.00288439,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289849,-0.869688,-1.91935,0.000119925,-0.00288486,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289868,-0.869687,-1.91935,0.000119925,-0.00288534,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289887,-0.869687,-1.91935,0.000119925,-0.00288582,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289906,-0.869687,-1.91935,0.000120163,-0.0028863,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289925,-0.869686,-1.91935,0.000120163,-0.00288677,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289944,-0.869686,-1.91935,0.000120163,-0.00288725,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289963,-0.869685,-1.91935,0.000120163,-0.00288773,8.86917e-05,0,0,0,0,0,0,
0,0,0.0289982,-0.869685,-1.91935,0.000120163,-0.0028882,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290001,-0.869684,-1.91935,0.000120163,-0.00288868,8.86917e-05,0,0,0,0,0,0,
0,0,0.029002,-0.869684,-1.91935,0.000120163,-0.00288916,8.86917e-05,0,0,0,0,0,0,
0,0,0.029004,-0.869683,-1.91935,0.000120163,-0.00288963,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290059,-0.869683,-1.91935,0.000120401,-0.00289011,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290078,-0.869682,-1.91935,0.000120401,-0.00289059,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290097,-0.869682,-1.91935,0.000120401,-0.00289106,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290116,-0.869681,-1.91935,0.000120401,-0.00289154,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290135,-0.869681,-1.91935,0.000120401,-0.00289202,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290154,-0.86968,-1.91935,0.000120401,-0.00289249,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290173,-0.86968,-1.91935,0.00012064,-0.00289297,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290192,-0.869679,-1.91935,0.00012064,-0.00289345,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290211,-0.869679,-1.91935,0.00012064,-0.00289392,8.86917e-05,0,0,0,0,0,0,
0,0,0.029023,-0.869678,-1.91935,0.00012064,-0.0028944,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290249,-0.869678,-1.91935,0.000120878,-0.00289488,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290268,-0.869677,-1.91935,0.000120878,-0.00289536,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290288,-0.869677,-1.91935,0.000120878,-0.00289583,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290307,-0.869676,-1.91935,0.000120878,-0.00289631,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290326,-0.869676,-1.91935,0.000120878,-0.00289679,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290345,-0.869675,-1.91935,0.000121117,-0.00289726,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290364,-0.869675,-1.91935,0.000121355,-0.00289774,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290383,-0.869674,-1.91935,0.000121117,-0.00289822,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290402,-0.869674,-1.91935,0.000121117,-0.00289869,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290421,-0.869673,-1.91935,0.000121117,-0.00289917,8.86917e-05,0,0,0,0,0,0,
0,0,0.029044,-0.869673,-1.91935,0.000120878,-0.00289965,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290459,-0.869672,-1.91935,0.000120878,-0.00290012,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290478,-0.869672,-1.91935,0.000120878,-0.0029006,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290497,-0.869671,-1.91935,0.000120878,-0.00290108,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290516,-0.869671,-1.91935,0.000120878,-0.00290155,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290535,-0.86967,-1.91935,0.000121117,-0.00290203,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290555,-0.86967,-1.91935,0.000121117,-0.00290251,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290574,-0.869669,-1.91935,0.000120878,-0.00290298,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290593,-0.869669,-1.91935,0.000120878,-0.00290346,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290612,-0.869668,-1.91935,0.000120878,-0.00290394,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290631,-0.869667,-1.91935,0.000120878,-0.00290442,8.86917e-05,0,0,0,0,0,0,
0,0,0.029065,-0.869667,-1.91935,0.000120878,-0.00290489,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290669,-0.869667,-1.91935,0.000120878,-0.00290537,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290688,-0.869666,-1.91935,0.000121117,-0.00290585,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290707,-0.869666,-1.91935,0.000121117,-0.00290632,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290726,-0.869665,-1.91935,0.000121117,-0.0029068,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290745,-0.869665,-1.91935,0.000121117,-0.00290728,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290764,-0.869664,-1.91935,0.000121117,-0.00290775,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290783,-0.869664,-1.91935,0.000121117,-0.00290823,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290803,-0.869663,-1.91935,0.000121355,-0.00290871,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290822,-0.869663,-1.91935,0.000121355,-0.00290918,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290841,-0.869662,-1.91935,0.000121117,-0.00290966,8.86917e-05,0,0,0,0,0,0,
0,0,0.029086,-0.869662,-1.91935,0.000121117,-0.00291014,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290879,-0.869661,-1.91935,0.000120878,-0.00291061,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290898,-0.869661,-1.91935,0.000120878,-0.00291109,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290917,-0.86966,-1.91935,0.000120878,-0.00291157,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290936,-0.86966,-1.91935,0.000120878,-0.00291204,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290955,-0.869659,-1.91935,0.000121117,-0.00291252,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290974,-0.869659,-1.91935,0.000120878,-0.002913,8.86917e-05,0,0,0,0,0,0,
0,0,0.0290993,-0.869658,-1.91935,0.000120878,-0.00291348,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291012,-0.869658,-1.91935,0.000120878,-0.00291395,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291031,-0.869657,-1.91934,0.000120878,-0.00291443,8.86917e-05,0,0,0,0,0,0,
0,0,0.029105,-0.869657,-1.91934,0.000120878,-0.00291491,8.86917e-05,0,0,0,0,0,0,
0,0,0.029107,-0.869656,-1.91934,0.000120878,-0.00291538,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291089,-0.869656,-1.91934,0.000120878,-0.00291586,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291108,-0.869655,-1.91934,0.000121117,-0.00291634,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291127,-0.869655,-1.91934,0.000120878,-0.00291681,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291146,-0.869654,-1.91934,0.000121117,-0.00291729,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291165,-0.869654,-1.91934,0.000121117,-0.00291777,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291184,-0.869653,-1.91934,0.000121117,-0.00291824,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291203,-0.869652,-1.91934,0.000121117,-0.00291872,8.86917e-05,0,0,0,0,0,0,
0,0,0.0291222,-0.869652,-1.91934,0.000121355,-0.0029192,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291241,-0.869651,-1.91934,0.000121355,-0.00291967,8.89301e-05,0,0,0,0,0,0,
0,0,0.029126,-0.869651,-1.91934,0.000121117,-0.00292015,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291279,-0.869651,-1.91934,0.000121117,-0.00292063,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291298,-0.86965,-1.91934,0.000121117,-0.0029211,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291317,-0.86965,-1.91934,0.000121117,-0.00292158,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291337,-0.869649,-1.91934,0.000121117,-0.00292206,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291356,-0.869648,-1.91934,0.000121117,-0.00292253,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291375,-0.869648,-1.91934,0.000121117,-0.00292301,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291394,-0.869647,-1.91934,0.000121117,-0.00292349,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291413,-0.869647,-1.91934,0.000121117,-0.00292397,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291432,-0.869646,-1.91934,0.000121117,-0.00292444,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291451,-0.869646,-1.91934,0.000121117,-0.00292492,8.89301e-05,0,0,0,0,0,0,
0,0,0.029147,-0.869645,-1.91934,0.000121117,-0.0029254,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291489,-0.869645,-1.91934,0.000121117,-0.00292587,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291508,-0.869644,-1.91934,0.000121117,-0.00292635,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291527,-0.869644,-1.91934,0.000121117,-0.00292683,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291546,-0.869643,-1.91934,0.000121117,-0.0029273,8.89301e-05,0,0,0,0,0,0,
0,0,0.0291565,-0.869643,-1.91934,0.000121117,-0.00292778,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291585,-0.869643,-1.91934,0.000121117,-0.00292826,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291604,-0.869642,-1.91934,0.000121355,-0.00292873,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291623,-0.869642,-1.91934,0.000121355,-0.00292921,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291642,-0.869641,-1.91934,0.000121593,-0.00292969,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291661,-0.869641,-1.91934,0.000121593,-0.00293016,8.91685e-05,0,0,0,0,0,0,
0,0,0.029168,-0.86964,-1.91934,0.000121593,-0.00293064,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291699,-0.86964,-1.91934,0.000121593,-0.00293112,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291718,-0.869639,-1.91934,0.000121832,-0.00293159,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291737,-0.869639,-1.91934,0.000121832,-0.00293207,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291756,-0.869638,-1.91934,0.00012207,-0.00293255,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291775,-0.869638,-1.91934,0.00012207,-0.00293303,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291794,-0.869637,-1.91934,0.00012207,-0.0029335,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291813,-0.869637,-1.91934,0.00012207,-0.00293398,8.91685e-05,0,0,0,0,0,0,
0,0,0.0291832,-0.869636,-1.91934,0.00012207,-0.00293446,8.9407e-05,0,0,0,0,0,0,
0,0,0.0291852,-0.869636,-1.91934,0.00012207,-0.00293493,8.9407e-05,0,0,0,0,0,0,
0,0,0.0291871,-0.869635,-1.91934,0.00012207,-0.00293541,8.9407e-05,0,0,0,0,0,0,
0,0,0.029189,-0.869634,-1.91934,0.00012207,-0.00293589,8.9407e-05,0,0,0,0,0,0,
0,0,0.0291909,-0.869634,-1.91934,0.00012207,-0.00293636,8.9407e-05,0,0,0,0,0,0,
0,0,0.0291928,-0.869633,-1.91934,0.00012207,-0.00293684,8.9407e-05,0,0,0,0,0,0,
0,0,0.0291947,-0.869633,-1.91934,0.00012207,-0.00293732,8.9407e-05,0,0,0,0,0,0,
0,0,0.0291966,-0.869633,-1.91934,0.00012207,-0.00293779,8.9407e-05,0,0,0,0,0,0,
0,0,0.0291985,-0.869632,-1.91934,0.00012207,-0.00293827,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292004,-0.869631,-1.91934,0.00012207,-0.00293875,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292023,-0.869631,-1.91934,0.000121832,-0.00293922,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292042,-0.869631,-1.91934,0.000121832,-0.0029397,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292061,-0.86963,-1.91934,0.000121832,-0.00294018,8.9407e-05,0,0,0,0,0,0,
0,0,0.029208,-0.869629,-1.91934,0.000121593,-0.00294065,8.9407e-05,0,0,0,0,0,0,
0,0,0.02921,-0.869629,-1.91934,0.000121593,-0.00294113,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292119,-0.869628,-1.91934,0.000121593,-0.00294161,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292138,-0.869628,-1.91934,0.000121593,-0.00294209,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292157,-0.869627,-1.91934,0.000121832,-0.00294256,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292176,-0.869627,-1.91934,0.000121832,-0.00294304,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292195,-0.869626,-1.91934,0.000121832,-0.00294352,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292214,-0.869626,-1.91934,0.00012207,-0.00294399,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292233,-0.869626,-1.91934,0.00012207,-0.00294447,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292252,-0.869626,-1.91934,0.00012207,-0.00294495,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292271,-0.869625,-1.91934,0.00012207,-0.00294542,8.9407e-05,0,0,0,0,0,0,
0,0,0.029229,-0.869624,-1.91934,0.00012207,-0.0029459,8.9407e-05,0,0,0,0,0,0,
0,0,0.0292309,-0.869624,-1.91934,0.00012207,-0.00294638,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292328,-0.869624,-1.91934,0.00012207,-0.00294685,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292347,-0.869623,-1.91934,0.000122309,-0.00294733,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292367,-0.869623,-1.91934,0.000122309,-0.00294781,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292386,-0.869622,-1.91934,0.000122309,-0.00294828,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292405,-0.869621,-1.91934,0.000122309,-0.00294876,8.96454e-05,0,0,0,0,0,0,
0,0,0.0292424,-0.869621,-1.91934,0.000122309,-0.00294924,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292443,-0.869621,-1.91934,0.000122309,-0.00294971,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292462,-0.86962,-1.91934,0.000122309,-0.00295019,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292481,-0.86962,-1.91934,0.000122309,-0.00295067,8.98838e-05,0,0,0,0,0,0,
0,0,0.02925,-0.869619,-1.91934,0.00012207,-0.00295115,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292519,-0.869619,-1.91934,0.00012207,-0.00295162,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292538,-0.869618,-1.91934,0.00012207,-0.0029521,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292557,-0.869618,-1.91934,0.00012207,-0.00295258,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292576,-0.869617,-1.91934,0.00012207,-0.00295305,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292595,-0.869616,-1.91934,0.00012207,-0.00295353,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292614,-0.869616,-1.91934,0.00012207,-0.00295401,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292634,-0.869616,-1.91934,0.00012207,-0.00295448,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292653,-0.869615,-1.91934,0.00012207,-0.00295496,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292672,-0.869615,-1.91934,0.000122309,-0.00295544,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292691,-0.869614,-1.91934,0.000122309,-0.00295591,8.98838e-05,0,0,0,0,0,0,
0,0,0.029271,-0.869614,-1.91934,0.000122547,-0.00295639,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292729,-0.869613,-1.91934,0.000122547,-0.00295687,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292748,-0.869613,-1.91934,0.000122309,-0.00295734,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292767,-0.869612,-1.91934,0.000122309,-0.00295782,8.98838e-05,0,0,0,0,0,0,
0,0,0.0292786,-0.869612,-1.91934,0.000122309,-0.0029583,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292805,-0.869611,-1.91934,0.000122547,-0.00295877,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292824,-0.86961,-1.91934,0.000122547,-0.00295925,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292843,-0.86961,-1.91934,0.000122547,-0.00295973,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292862,-0.869609,-1.91934,0.000122547,-0.00296021,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292882,-0.869609,-1.91934,0.000122547,-0.00296068,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292901,-0.869608,-1.91934,0.000122547,-0.00296116,9.01222e-05,0,0,0,0,0,0,
0,0,0.029292,-0.869608,-1.91934,0.000122547,-0.00296164,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292939,-0.869607,-1.91934,0.000122547,-0.00296211,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292958,-0.869607,-1.91934,0.000122547,-0.00296259,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292977,-0.869607,-1.91934,0.000122547,-0.00296307,9.01222e-05,0,0,0,0,0,0,
0,0,0.0292996,-0.869606,-1.91934,0.000122547,-0.00296354,9.01222e-05,0,0,0,0,0,0,
